net_id,from_id,to_id,value
2005-06-30,FR,KR,146.19
2005-06-30,FR,NL,796.03
2005-06-30,FR,PT,128.69
2005-06-30,FR,SE,71.03
2005-06-30,FR,TR,51.57
2005-06-30,FR,US,4359.15
2005-06-30,GB,AT,110.2
2005-06-30,GB,AU,868.39
2005-06-30,GB,BE,561.79
2005-06-30,GB,CA,635.64
2005-06-30,GB,CH,286.55
2005-06-30,GB,CL,17.26
2005-06-30,GB,DE,1532.35
2005-06-30,GB,ES,757.96
2005-06-30,GB,FI,59.51
2005-06-30,GB,FR,1324.03
2005-06-30,GB,GR,77.1
2005-06-30,GB,IE,991.86
2005-06-30,GB,IN,124.87
2005-06-30,GB,IT,748.85
2005-06-30,GB,JP,679.91
2005-06-30,GB,KR,598.55
2005-06-30,GB,NL,929.36
2005-06-30,GB,PT,162.04
2005-06-30,GB,SE,145.32
2005-06-30,GB,TR,77.85
2005-06-30,GB,US,8607.78
2005-06-30,GR,AT,12.84
2005-06-30,GR,AU,0.21
2005-06-30,GR,BE,14.66
2005-06-30,GR,CA,4.85
2005-06-30,GR,CH,1.22
2005-06-30,GR,DE,15.03
2005-06-30,GR,ES,4.5
2005-06-30,GR,FI,0.13
2005-06-30,GR,FR,14.38
2005-06-30,GR,GB,42.48
2005-06-30,GR,IE,8.62
2005-06-30,GR,IN,0.05
2005-06-30,GR,IT,20.11
2005-06-30,GR,JP,3.92
2005-06-30,GR,KR,0.22
2005-06-30,GR,NL,6.59
2005-06-30,GR,PT,3.35
2005-06-30,GR,SE,0.46
2005-06-30,GR,TR,3.49
2005-06-30,GR,US,69.72
2005-06-30,IT,AT,47.75
2005-06-30,IT,AU,6.69
2005-06-30,IT,BE,46.29
2005-06-30,IT,CA,5.64
2005-06-30,IT,CH,57.19
2005-06-30,IT,CL,4.84
2005-06-30,IT,DE,387.23
2005-06-30,IT,ES,103.91
2005-06-30,IT,FI,5.29
2005-06-30,IT,FR,222.23
2005-06-30,IT,GB,307.9
2005-06-30,IT,GR,57.43
2005-06-30,IT,IE,105.85
2005-06-30,IT,IN,5.78
2005-06-30,IT,JP,47.62
2005-06-30,IT,KR,9.13
2005-06-30,IT,NL,135.8
2005-06-30,IT,PT,73.58
2005-06-30,IT,SE,12.34
2005-06-30,IT,TR,11.75
2005-06-30,IT,US,322.32
2005-06-30,JP,AT,55.34
2005-06-30,JP,AU,239.07
2005-06-30,JP,BE,129.14
2005-06-30,JP,CA,233.91
2005-06-30,JP,CH,107.36
2005-06-30,JP,CL,11.49
2005-06-30,JP,DE,1037.01
2005-06-30,JP,ES,185.54
2005-06-30,JP,FI,39.63
2005-06-30,JP,FR,780.58
2005-06-30,JP,GB,915.88
2005-06-30,JP,GR,31.35
2005-06-30,JP,IE,195.97
2005-06-30,JP,IN,37.9
2005-06-30,JP,IT,340.29
2005-06-30,JP,KR,146.8
2005-06-30,JP,NL,355.44
2005-06-30,JP,PT,14.76
2005-06-30,JP,SE,75.93
2005-06-30,JP,TR,16.45
