IngredientName,IngredientId,PortionUOMTypeId
v cbvbdfb                                          ,351,11
"Sauce, Chilli Sauce - Metric                       ",352,13
"Sauce, Tomato - Metric                             ",353,13
"Bakery, Baked Bar                                  ",354,11
"Egg, Whole Sanitized                               ",355,NA
"Smoothie, Caramel Concentrate                      ",356,15
"Smoothie, Mocha Concentrate                        ",357,15
"Sauce, Smoky Chili Lime Sauce                      ",358,15
"Olives, Green Olives Sliced                        ",359,NA
"Cleaner, Rinse Dry                                 ",360,11
"Sauce, Creamy Sriracha                             ",361,15
Mustard Glaze                                      ,362,15
"Seasoning, BBQ                                     ",363,11
"Salt, Portion Control Packet                       ",364,11
"Pepper, Portion Control Packet                     ",365,11
"Chili, Bowl                                        ",366,15
"Sauce, Creamy Pesto                                ",367,NA
"Coffee, Single Serve portion                       ",368,11
"Tray, Catering Flat Tray                           ",369,11
"Bag, Reusable Grocery                              ",370,11
"Beef, Beef Chili Colorado                          ",371,15
"Cup, Smoothie 12 oz. clear                         ",372,11
"Chicken, Enchilada Chicken                         ",373,15
"Beef, Prime Rib Steak                              ",374,15
Chips as Sandwich Topping                          ,375,11
"Sauce, Caesar -  Metric                            ",376,13
"Sauce, Hot Sauce - Metric                          ",377,13
Mustards - Metric                                  ,378,13
Marinara -  Metric                                 ,379,13
Chipotle Sauce - Metric                            ,380,13
Coffee - Metric                                    ,381,13
Sugar Packet                                       ,382,11
"Sauce, Tikka - Metric                              ",383,13
Relish Packet                                      ,384,11
Beef Strip                                         ,385,11
"Seafood, Seafood Sensation - Metric                ",386,13
"Chicken, Chicken Schnitzel - Metric                ",387,13
"Sauce, Horseradish Sauce                           ",388,15
Cucumber - Metric                                  ,389,13
"Lid, 16 oz/470ml-475ml                             ",390,11
"Cup, Cold,  24 oz/700ml-710ml                      ",391,11
"Lid, Cold, 12 oz./350ml-360ml                      ",392,11
Smoked Turkey Thigh                                ,393,13
"Walmart, Pretzel                                   ",394,11
"Walmart, Hot Dog, Regular                          ",395,15
"Walmart, Tray, Hot Dog Tray                        ",396,11
"Walmart, Popcorn kit 1.4 oz                        ",397,11
"Walmart, Hot Dog Jumbo                             ",398,15
"Bag, Paper Sub Bag                                 ",399,NA
"Lid, Cold, 24 oz/700ml-710ml                       ",400,11
"Walmart, Popcorn kit 8 oz.                         ",401,11
"Bag, Paper, Kids                                   ",402,11
"Raisin, Single Serve                               ",403,11
Avocado - Metric                                   ,404,13
Pineapple - Metric                                 ,405,13
Beetroot - Metric                                  ,406,13
"Sauce, Sweet Chili - Metric                        ",407,NA
"Sauce, Hot Chilli - Metric                         ",408,13
"Sauce, Tomato Relish - Metric                      ",409,13
"Sauce, Garlic Aioli - Metric                       ",410,13
"Egg, Poached                                       ",411,NA
"Olive Oil blend, Sauce - Metric                    ",412,13
"Dip, Pre-Portion for chips                         ",413,11
"Walmart, Hot Dog Roll                              ",414,11
"Chicken, Classic Fillet - Metric                   ",415,13
"Fit Chips, Chips (Fries)                           ",416,13
Dried Fruit Medley                                 ,417,11
Bottle Beverage 390ml                              ,418,11
Mango Smoothie Pack                                ,419,11
Strawberry Smoothie Pack                           ,420,11
Banana Smoothie Pack                               ,421,11
Caribbean Smoothie Pack                            ,422,11
"Cup, Smoothie Foam                                 ",423,11
"Bottle, Iced Coffee - Premade                      ",424,11
"Coffee, Single Serve Small                         ",425,11
"Cups, Hot Cup 8 oz.                                ",426,11
"Walmart, Icee Syrup                                ",427,12
"Dip Cup, Portion Control Fit Chips dips            ",428,11
"Box, Fit Chips                                     ",429,11
Seasoning salt                                     ,430,13
"Walmart, Popcorn Cleaning kit                      ",431,11
"Sauce, Sweet Chili                                 ",432,13
"Sauce, Tomato                                      ",433,13
Promotional Cup - 32 oz.                           ,434,11
Hot Chocolate - Metric                             ,435,13
"Water, Large Bottle                                ",436,11
"Fruit Scroll, Pastry                               ",437,11
Crisps (Australia)                                 ,438,11
"Water, Sparkling                                   ",439,11
Bottle Beverage 600ml                              ,440,11
"Water, Bottle 400ml                                ",441,11
"Milk, Mini                                         ",442,11
"Bottle, Iced Tea                                   ",443,11
"Bottle, Sports Drink                               ",444,11
Pastry                                             ,445,11
"Salt, Bulk - Metric                                ",446,13
"Pepper, Black, Bulk - Metric                       ",447,13
Oregano - Metric                                   ,448,13
"Spread, Garlic Dairy Base                          ",449,15
"Sauce, Butter Glaze                                ",450,15
"Bottle, Flavoured Water                            ",451,11
Mushrooms                                          ,452,15
"Butter, single portion                             ",453,11
Bacon - Metric                                     ,454,11
"Pouch, Flatbread 6 inch portion paper pouch        ",455,11
"Chicken, Three Pepper                              ",456,13
"Chicken, Lemon and Herb                            ",457,13
"Jam or Jelly, Portion Control                      ",458,11
"Sauce, Caramelised Onion                           ",459,13
"Spread, Skagen                                     ",460,13
"Apple, Whole                                       ",461,13
"Cups, Cold, 12 oz /.3 L                            ",462,11
Smoothie mix                                       ,463,11
Auntie Annes                                       ,464,11
Subway Cafe                                        ,465,11
"Coffee, whole bean, SC                             ",466,15
"Coffee, Sauces, SC                                 ",467,15
"Coffee, syrups, SC                                 ",468,15
"Tea bag, single serve, SC                          ",469,11
"Cup, 16 oz, cold, SC                               ",470,11
"Cup, 20 oz, cold, SC                               ",471,11
"Cup, 3.5 oz, cold, sample, SC                      ",472,11
"Lid, cold, dome, 16 oz, SC                         ",473,11
"Lid, cold, flat, 16 oz, SC                         ",474,11
"Lid, hot, 12/16 oz, SC                             ",476,11
"Sleeve, 12/16 oz, hot cup, SC                      ",477,11
"Cup, hot, 12 oz, SC                                ",478,11
"Cup, hot, 16 oz, SC                                ",479,11
"Cup, hot, 4 oz, sample, SC                         ",480,11
"Frozen Drink, Concentrate, SC                      ",481,15
"Whipped Cream, SC                                  ",482,12
"Danish, SC                                         ",483,11
Honey Sesame Sauce                                 ,484,15
Vidalia French Onion Sauce                         ,485,15
Kung Pao Glaze                                     ,486,15
Creamy Cilantro Lime Sauce                         ,487,12
Chili Ginger Coconut Glaze                         ,488,15
"Cheese, mozzarella, fresh, sliced                  ",489,15
Sauerkraut                                         ,490,15
Thousand Island Sauce                              ,491,15
Mini R&D Ingredients (Unit Cost)                   ,492,11
