StoreNumber,Quantity,PLU,Id,date
46673,1,311000100,277,2015/3/5
12631,1,111000017,48,2015/3/5
12631,1,111000024,166,2015/3/5
46673,1,121000018,34,2015/3/5
12631,1,131000256,1229,2015/3/5
12631,1,321000177,340,2015/3/5
46673,1,111000006,74,2015/3/5
12631,1,221000135,278,2015/3/5
46673,1,221000133,279,2015/3/5
46673,1,221000133,279,2015/3/5
12631,2,311000100,277,2015/3/5
46673,1,161000001,95,2015/3/5
12631,1,121000012,13,2015/3/5
46673,1,121000012,13,2015/3/5
12631,1,212000126,280,2015/3/5
46673,1,121000011,19,2015/3/5
12631,1,212000126,280,2015/3/5
12631,1,311000100,277,2015/3/5
46673,1,174000036,906,2015/3/5
46673,1,311000100,277,2015/3/5
46673,1,311000100,277,2015/3/5
46673,1,111000004,1,2015/3/5
46673,1,111000002,69,2015/3/5
12631,1,111000050,85,2015/3/5
12631,1,212000126,280,2015/3/5
12631,2,321000101,276,2015/3/5
12631,2,321000101,276,2015/3/5
12631,1,311000100,277,2015/3/5
12631,1,121000010,81,2015/3/5
46673,1,111000002,69,2015/3/5
12631,1,121000018,34,2015/3/5
12631,1,121000012,13,2015/3/5
12631,2,111000008,7,2015/3/5
46673,1,111000002,69,2015/3/5
12631,1,212000126,280,2015/3/5
46673,1,111000021,38,2015/3/5
12631,2,321000101,276,2015/3/5
12631,1,111000731,7038,2015/3/5
46673,1,212000126,280,2015/3/5
12631,1,121000014,64,2015/3/5
46673,1,311000100,277,2015/3/5
46673,1,221000133,279,2015/3/5
12631,1,131000256,1229,2015/3/5
12631,1,111000018,33,2015/3/5
46673,1,311000100,277,2015/3/5
46673,1,111000018,33,2015/3/5
12631,1,121000008,8,2015/3/5
12631,3,331000287,1468,2015/3/5
46673,1,311000100,277,2015/3/5
46673,1,212000126,280,2015/3/5
12631,1,311000100,277,2015/3/5
12631,1,321000101,276,2015/3/5
12631,1,311000100,277,2015/3/5
12631,1,121000011,19,2015/3/5
12631,1,111000003,58,2015/3/5
46673,1,121000001,91,2015/3/5
46673,1,321000177,340,2015/3/5
12631,1,121000731,7040,2015/3/5
12631,1,111000003,58,2015/3/5
46673,2,111000003,58,2015/3/5
46673,2,321000101,276,2015/3/5
12631,1,121000002,70,2015/3/5
12631,1,221000133,279,2015/3/5
12631,1,121000006,75,2015/3/5
12631,1,321000101,276,2015/3/5
12631,2,321000101,276,2015/3/5
46673,1,311000100,277,2015/3/5
46673,1,221000133,279,2015/3/5
46673,1,174000036,906,2015/3/5
12631,1,111000731,7038,2015/3/5
46673,2,221000133,279,2015/3/5
12631,1,111000012,12,2015/3/5
46673,1,121000004,2,2015/3/5
12631,1,121000010,81,2015/3/5
12631,1,111000021,38,2015/3/5
12631,1,221000135,278,2015/3/5
12631,1,212000126,280,2015/3/5
12631,1,131000018,37,2015/3/5
46673,1,212000126,280,2015/3/5
12631,1,111000012,12,2015/3/5
12631,1,212000126,280,2015/3/5
46673,2,221000134,365,2015/3/5
12631,1,111000026,142,2015/3/5
46673,1,212000126,280,2015/3/5
46673,1,121000004,2,2015/3/5
12631,1,174000036,906,2015/3/5
46673,1,212000126,280,2015/3/5
46673,1,221000134,365,2015/3/5
12631,1,212000126,280,2015/3/5
12631,1,111000006,74,2015/3/5
12631,1,221000133,279,2015/3/5
46673,1,111000005,43,2015/3/5
46673,1,221000133,279,2015/3/5
12631,1,321000101,276,2015/3/5
12631,2,111000006,74,2015/3/5
12631,1,221000133,279,2015/3/5
12631,1,311000100,277,2015/3/5
12631,1,111000006,74,2015/3/5
46673,1,311000100,277,2015/3/5
46673,1,311000100,277,2015/3/5
12631,1,111000018,33,2015/3/5
46673,1,111000006,74,2015/3/5
46673,1,321000177,340,2015/3/5
12631,2,321000101,276,2015/3/5
46673,1,221000133,279,2015/3/5
12631,1,321000101,276,2015/3/5
12631,1,212000126,280,2015/3/5
46673,1,311000100,277,2015/3/5
46673,1,311000100,277,2015/3/5
46673,1,311000100,277,2015/3/5
46673,1,221000134,365,2015/3/5
12631,1,121000050,86,2015/3/5
12631,1,311000100,277,2015/3/5
12631,1,111000014,63,2015/3/5
46673,1,311000100,277,2015/3/5
12631,1,121000012,13,2015/3/5
12631,1,221000134,365,2015/3/5
46673,1,111000010,80,2015/3/5
12631,1,175000040,567,2015/3/5
12631,1,111000006,74,2015/3/5
12631,1,174000036,906,2015/3/5
12631,2,321000101,276,2015/3/5
12631,1,111000008,7,2015/3/5
12631,1,311000100,277,2015/3/5
12631,1,121000003,59,2015/3/5
46673,1,121000003,59,2015/3/5
46673,1,121000012,13,2015/3/5
46673,1,111000041,326,2015/3/5
12631,1,175000062,564,2015/3/5
46673,1,321000101,276,2015/3/5
12631,1,321000101,276,2015/3/5
12631,1,111000003,58,2015/3/5
12631,2,321000101,276,2015/3/5
46673,1,221000134,365,2015/3/5
46673,1,311000100,277,2015/3/5
46673,1,221000133,279,2015/3/5
46673,1,311000100,277,2015/3/5
12631,1,121000012,13,2015/3/5
12631,1,111000010,80,2015/3/5
46673,1,111000002,69,2015/3/5
46673,1,111000011,18,2015/3/5
12631,1,111000004,1,2015/3/5
46673,1,212000126,280,2015/3/5
12631,1,174000036,906,2015/3/5
46673,1,121000054,153,2015/3/5
46673,1,212000126,280,2015/3/5
46673,1,311000100,277,2015/3/5
12631,1,121000012,13,2015/3/5
12631,1,121000004,2,2015/3/5
12631,1,121000010,81,2015/3/5
46673,1,212000126,280,2015/3/5
46673,1,311000100,277,2015/3/5
12631,1,221000133,279,2015/3/5
46673,1,321000177,340,2015/3/5
46673,1,111000017,48,2015/3/5
12631,1,111000731,7038,2015/3/5
46673,1,212000126,280,2015/3/5
12631,1,212000126,280,2015/3/5
12631,1,121000001,91,2015/3/5
12631,1,321000101,276,2015/3/5
12631,1,212000126,280,2015/3/5
46673,1,311000100,277,2015/3/5
12631,1,221000135,278,2015/3/5
12631,1,111000003,58,2015/3/5
46673,2,311000100,277,2015/3/5
46673,1,221000134,365,2015/3/5
12631,1,212000126,280,2015/3/5
12631,1,311000100,277,2015/3/5
12631,1,212000126,280,2015/3/5
12631,1,311000100,277,2015/3/5
46673,1,311000100,277,2015/3/5
46673,1,111000010,80,2015/3/5
46673,1,121000017,49,2015/3/5
46673,1,212000126,280,2015/3/5
12631,1,111000012,12,2015/3/5
12631,1,112000021,40,2015/3/5
12631,1,111000006,74,2015/3/5
12631,1,111000011,18,2015/3/5
46673,2,311000100,277,2015/3/5
12631,1,221000134,365,2015/3/5
12631,1,121000012,13,2015/3/5
46673,1,121000004,2,2015/3/5
12631,1,171000018,593,2015/3/5
46673,1,321000101,276,2015/3/5
46673,1,221000133,279,2015/3/5
46673,1,311000100,277,2015/3/5
12631,2,111000027,96,2015/3/5
12631,1,231000111,613,2015/3/5
46673,1,111000017,48,2015/3/5
46673,1,212000126,280,2015/3/5
12631,1,121000003,59,2015/3/5
12631,1,121000012,13,2015/3/5
46673,1,212000126,280,2015/3/6
12631,1,111000004,1,2015/3/6
46673,1,221000133,279,2015/3/6
12631,1,121000003,59,2015/3/6
12631,1,111000050,85,2015/3/6
46673,1,121000017,49,2015/3/6
12631,1,321000177,340,2015/3/6
12631,1,111000021,38,2015/3/6
12631,1,212000126,280,2015/3/6
12631,1,311000100,277,2015/3/6
46673,1,121000008,8,2015/3/6
12631,1,121000010,81,2015/3/6
46673,1,311000100,277,2015/3/6
12631,1,212000126,280,2015/3/6
12631,1,221000135,278,2015/3/6
12631,1,212000126,280,2015/3/6
46673,1,221000133,279,2015/3/6
46673,2,311000100,277,2015/3/6
12631,1,111000021,38,2015/3/6
12631,1,311000100,277,2015/3/6
12631,1,311000100,277,2015/3/6
12631,1,311000100,277,2015/3/6
46673,1,121000021,39,2015/3/6
46673,1,221000133,279,2015/3/6
12631,1,212000126,280,2015/3/6
12631,1,311000100,277,2015/3/6
12631,1,111000019,206,2015/3/6
12631,2,321000101,276,2015/3/6
12631,1,121000006,75,2015/3/6
12631,1,212000126,280,2015/3/6
12631,1,111000002,69,2015/3/6
12631,1,311000100,277,2015/3/6
12631,1,221000133,279,2015/3/6
12631,1,212000126,280,2015/3/6
12631,2,111000010,80,2015/3/6
46673,1,111000054,152,2015/3/6
46673,1,212000126,280,2015/3/6
12631,1,175000038,1233,2015/3/6
12631,1,111000021,38,2015/3/6
12631,4,111000010,80,2015/3/6
12631,1,161000012,17,2015/3/6
12631,1,121000008,8,2015/3/6
46673,1,124000030,214,2015/3/6
46673,1,311000100,277,2015/3/6
46673,1,212000126,280,2015/3/6
12631,1,215000145,281,2015/3/6
46673,1,111000004,1,2015/3/6
46673,1,215000145,281,2015/3/6
46673,1,174000036,906,2015/3/6
12631,1,111000050,85,2015/3/6
46673,2,311000100,277,2015/3/6
46673,1,121000018,34,2015/3/6
12631,1,172000004,580,2015/3/6
12631,1,111000018,33,2015/3/6
12631,1,111000010,80,2015/3/6
12631,1,111000050,85,2015/3/6
12631,1,212000126,280,2015/3/6
12631,1,212000126,280,2015/3/6
12631,1,111000018,33,2015/3/6
12631,1,121000050,86,2015/3/6
46673,1,311000100,277,2015/3/6
12631,2,321000101,276,2015/3/6
46673,1,212000126,280,2015/3/6
12631,1,121000018,34,2015/3/6
12631,1,311000100,277,2015/3/6
12631,1,311000100,277,2015/3/6
12631,1,111000003,58,2015/3/6
46673,2,111000006,74,2015/3/6
12631,2,321000101,276,2015/3/6
46673,1,111000006,74,2015/3/6
46673,1,311000100,277,2015/3/6
12631,1,121000006,75,2015/3/6
12631,1,221000133,279,2015/3/6
46673,1,121000006,75,2015/3/6
12631,1,221000134,365,2015/3/6
46673,1,311000100,277,2015/3/6
46673,1,215000145,281,2015/3/6
46673,1,221000133,279,2015/3/6
46673,2,321000101,276,2015/3/6
12631,1,341000102,275,2015/3/6
12631,1,321000177,340,2015/3/6
12631,1,212000126,280,2015/3/6
46673,1,221000133,279,2015/3/6
12631,1,111000050,85,2015/3/6
46673,1,121000018,34,2015/3/6
46673,1,311000100,277,2015/3/6
12631,1,111000050,85,2015/3/6
12631,1,221000133,279,2015/3/6
46673,1,221000133,279,2015/3/6
12631,1,321000101,276,2015/3/6
12631,1,321000101,276,2015/3/6
46673,1,311000100,277,2015/3/6
12631,1,121000021,39,2015/3/6
12631,2,175000036,907,2015/3/6
46673,1,121000050,86,2015/3/6
12631,1,111000018,33,2015/3/6
46673,1,121000006,75,2015/3/6
46673,2,212000126,280,2015/3/6
46673,1,311000100,277,2015/3/6
12631,1,311000100,277,2015/3/6
12631,1,321000177,340,2015/3/6
12631,1,221000133,279,2015/3/6
12631,1,121000003,59,2015/3/6
12631,1,212000126,280,2015/3/6
12631,1,111000003,58,2015/3/6
46673,1,321000177,340,2015/3/6
