,StoreNumber,date,Quantity
318,46673,2015/4/1,189.0
319,46673,2015/4/10,96.0
320,46673,2015/4/11,70.0
321,46673,2015/4/12,154.0
322,46673,2015/4/13,210.0
323,46673,2015/4/14,206.0
324,46673,2015/4/15,154.0
325,46673,2015/4/16,178.0
326,46673,2015/4/17,114.0
327,46673,2015/4/18,76.0
328,46673,2015/4/19,188.0
329,46673,2015/4/2,166.0
330,46673,2015/4/20,174.0
331,46673,2015/4/21,139.0
332,46673,2015/4/22,190.0
333,46673,2015/4/23,153.0
334,46673,2015/4/24,102.0
335,46673,2015/4/25,122.0
336,46673,2015/4/26,189.0
337,46673,2015/4/27,181.0
338,46673,2015/4/28,167.0
339,46673,2015/4/29,169.0
340,46673,2015/4/3,92.0
341,46673,2015/4/30,169.0
342,46673,2015/4/4,65.0
343,46673,2015/4/5,180.0
344,46673,2015/4/6,199.0
345,46673,2015/4/7,180.0
346,46673,2015/4/8,219.0
347,46673,2015/4/9,181.0
348,46673,2015/5/1,87.0
349,46673,2015/5/10,167.0
350,46673,2015/5/11,172.0
351,46673,2015/5/12,165.0
352,46673,2015/5/13,166.0
353,46673,2015/5/14,119.0
354,46673,2015/5/15,74.0
355,46673,2015/5/16,50.0
356,46673,2015/5/17,145.0
357,46673,2015/5/18,122.0
358,46673,2015/5/19,153.0
359,46673,2015/5/2,78.0
360,46673,2015/5/20,158.0
361,46673,2015/5/21,158.0
362,46673,2015/5/22,88.0
363,46673,2015/5/23,75.0
364,46673,2015/5/24,91.0
365,46673,2015/5/25,123.0
366,46673,2015/5/26,171.0
367,46673,2015/5/27,176.0
368,46673,2015/5/28,185.0
369,46673,2015/5/29,96.0
370,46673,2015/5/3,133.0
371,46673,2015/5/30,48.0
372,46673,2015/5/31,147.0
373,46673,2015/5/4,145.0
374,46673,2015/5/5,155.0
375,46673,2015/5/6,181.0
376,46673,2015/5/7,165.0
377,46673,2015/5/8,76.0
378,46673,2015/5/9,74.0
379,46673,2015/6/1,184.0
380,46673,2015/6/10,122.0
381,46673,2015/6/11,149.0
382,46673,2015/6/12,128.0
383,46673,2015/6/13,90.0
384,46673,2015/6/14,134.0
385,46673,2015/6/15,178.0
386,46673,2015/6/2,144.0
387,46673,2015/6/3,163.0
388,46673,2015/6/4,161.0
389,46673,2015/6/5,94.0
390,46673,2015/6/6,78.0
391,46673,2015/6/7,242.0
392,46673,2015/6/8,164.0
393,46673,2015/6/9,127.0
